time [s]	separation [m]	mean speed [m/s]	quad loop time [ns]
1.000000e-12	6.865299e-10	2.390913e+02	2.873326e+07
2.000000e-12	6.740661e-10	2.450355e+02	2.025929e+07
3.000000e-12	6.655268e-10	2.514299e+02	2.162622e+07
4.000000e-12	6.363601e-10	2.616319e+02	2.246086e+07
5.000000e-12	6.095457e-10	2.711569e+02	2.116639e+07
6.000000e-12	5.907797e-10	2.800964e+02	2.258447e+07
7.000000e-12	5.989412e-10	2.872634e+02	2.247064e+07
8.000000e-12	5.816903e-10	2.930524e+02	2.245108e+07
9.000000e-12	5.672930e-10	2.976657e+02	2.302478e+07
1.000000e-11	5.788764e-10	3.002608e+02	2.382253e+07
1.100000e-11	5.720776e-10	3.009170e+02	2.295225e+07
1.200000e-11	5.807579e-10	3.027629e+02	2.291334e+07
1.300000e-11	5.818808e-10	3.031653e+02	2.373481e+07
1.400000e-11	5.681265e-10	3.037794e+02	2.484185e+07
1.500000e-11	5.756278e-10	3.042260e+02	2.395544e+07
1.600000e-11	5.670607e-10	3.075624e+02	2.478022e+07
1.700000e-11	5.526462e-10	3.086134e+02	2.388600e+07
1.800000e-11	5.421882e-10	3.100702e+02	2.442734e+07
1.900000e-11	5.544198e-10	3.134074e+02	2.434425e+07
2.000000e-11	5.419150e-10	3.145081e+02	2.435924e+07
2.100000e-11	5.401815e-10	3.134096e+02	2.443363e+07
2.200000e-11	5.465122e-10	3.152697e+02	2.573029e+07
2.300000e-11	5.492779e-10	3.166758e+02	2.471503e+07
2.400000e-11	5.481361e-10	3.187426e+02	2.493847e+07
2.500000e-11	5.377675e-10	3.201112e+02	2.543690e+07
2.600000e-11	5.384581e-10	3.202334e+02	2.423560e+07
2.700000e-11	5.428465e-10	3.193169e+02	2.512496e+07
2.800000e-11	5.486530e-10	3.217896e+02	2.580943e+07
2.900000e-11	5.573386e-10	3.220084e+02	2.604794e+07
3.000000e-11	5.410488e-10	3.236257e+02	2.561763e+07
3.100000e-11	5.281615e-10	3.243904e+02	2.548532e+07
3.200000e-11	5.236478e-10	3.254395e+02	2.503084e+07
3.300000e-11	5.337230e-10	3.259085e+02	2.600859e+07
3.400000e-11	5.359184e-10	3.275989e+02	2.550689e+07
3.500000e-11	5.428598e-10	3.289364e+02	2.550081e+07
3.600000e-11	5.460175e-10	3.288430e+02	2.646872e+07
3.700000e-11	5.488846e-10	3.284095e+02	2.484134e+07
3.800000e-11	5.326203e-10	3.290198e+02	2.599626e+07
3.900000e-11	5.424792e-10	3.302563e+02	2.585708e+07
4.000000e-11	5.335253e-10	3.297420e+02	2.802784e+07
4.100000e-11	5.501620e-10	3.273655e+02	2.541734e+07
4.200000e-11	5.338349e-10	3.293782e+02	2.558501e+07
4.300000e-11	5.290065e-10	3.293234e+02	2.682743e+07
4.400000e-11	5.305105e-10	3.320498e+02	2.600277e+07
4.500000e-11	5.330702e-10	3.331988e+02	2.605563e+07
4.600000e-11	5.309349e-10	3.318076e+02	2.610820e+07
4.700000e-11	5.352453e-10	3.323322e+02	2.643930e+07
4.800000e-11	5.306246e-10	3.316536e+02	2.604864e+07
4.900000e-11	5.254067e-10	3.343746e+02	2.683848e+07
5.000000e-11	5.374390e-10	3.341153e+02	2.722534e+07
5.100000e-11	5.450043e-10	3.307539e+02	2.658710e+07
5.200000e-11	5.254931e-10	3.348551e+02	2.655251e+07
5.300000e-11	5.302572e-10	3.353296e+02	2.936260e+07
5.400000e-11	5.281567e-10	3.349878e+02	2.643639e+07
5.500000e-11	5.300386e-10	3.351877e+02	2.656588e+07
5.600000e-11	5.275585e-10	3.356568e+02	2.769997e+07
5.700000e-11	5.212837e-10	3.367159e+02	2.640074e+07
5.800000e-11	5.233176e-10	3.376705e+02	2.627155e+07
5.900000e-11	5.187588e-10	3.374143e+02	2.665522e+07
6.000000e-11	5.259648e-10	3.367667e+02	2.653671e+07
6.100000e-11	5.297490e-10	3.377061e+02	2.614625e+07
6.200000e-11	5.155303e-10	3.391370e+02	2.728085e+07
6.300000e-11	5.366184e-10	3.378856e+02	2.776633e+07
6.400000e-11	5.130168e-10	3.388646e+02	2.642233e+07
6.500000e-11	5.107664e-10	3.401746e+02	2.661789e+07
6.600000e-11	5.081592e-10	3.408243e+02	2.708521e+07
6.700000e-11	5.073881e-10	3.425507e+02	2.725146e+07
6.800000e-11	5.211573e-10	3.405573e+02	2.723830e+07
6.900000e-11	5.095205e-10	3.420373e+02	2.684328e+07
7.000000e-11	5.145925e-10	3.412890e+02	3.089698e+07
7.100000e-11	5.154605e-10	3.405802e+02	2.729758e+07
7.200000e-11	5.176841e-10	3.406467e+02	2.662056e+07
7.300000e-11	5.173019e-10	3.412987e+02	2.713525e+07
7.400000e-11	5.155785e-10	3.420848e+02	2.695207e+07
7.500000e-11	5.182118e-10	3.416521e+02	2.715712e+07
7.600000e-11	5.163392e-10	3.402683e+02	2.853168e+07
7.700000e-11	5.181977e-10	3.431353e+02	2.918596e+07
7.800000e-11	5.073785e-10	3.432836e+02	2.707336e+07
7.900000e-11	5.242007e-10	3.437368e+02	2.776497e+07
8.000000e-11	5.231962e-10	3.449469e+02	2.749127e+07
8.100000e-11	5.135882e-10	3.454178e+02	2.705446e+07
8.200000e-11	5.212619e-10	3.459688e+02	2.807496e+07
8.300000e-11	5.111298e-10	3.456911e+02	2.903287e+07
8.400000e-11	5.173602e-10	3.459635e+02	2.916229e+07
8.500000e-11	5.165129e-10	3.445779e+02	2.742436e+07
8.600000e-11	5.132139e-10	3.456275e+02	2.762690e+07
8.700000e-11	5.051759e-10	3.479535e+02	2.698802e+07
8.800000e-11	5.177157e-10	3.466383e+02	2.717386e+07
8.900000e-11	5.092748e-10	3.469085e+02	2.952863e+07
9.000000e-11	5.129040e-10	3.463495e+02	2.752941e+07
9.100000e-11	5.023146e-10	3.485949e+02	2.711936e+07
9.200000e-11	5.086766e-10	3.484787e+02	2.746001e+07
9.300000e-11	5.005105e-10	3.480386e+02	2.798373e+07
9.400000e-11	4.908935e-10	3.490103e+02	2.786037e+07
9.500000e-11	5.143143e-10	3.490069e+02	2.984399e+07
9.600000e-11	5.063424e-10	3.486706e+02	2.876890e+07
9.700000e-11	5.079794e-10	3.454642e+02	2.791321e+07
9.800000e-11	5.050813e-10	3.470116e+02	2.881975e+07
9.900000e-11	4.894348e-10	3.488690e+02	2.829868e+07
1.000000e-10	5.136609e-10	3.482660e+02	2.790149e+07
1.010000e-10	5.010153e-10	3.505919e+02	2.763774e+07
