time_step [s] = stop-time [s] = time [s]	separation [m]	mean speed [m/s]
1.000000e-14	3.549038e-10	3.630278e+02
2.000000e-14	3.598952e-10	3.826740e+02
3.000000e-14	3.538411e-10	3.945526e+02
4.000000e-14	3.454207e-10	4.072391e+02
5.000000e-14	3.454615e-10	4.134266e+02
6.000000e-14	3.472066e-10	4.167215e+02
7.000000e-14	3.480468e-10	4.197969e+02
8.000000e-14	3.492676e-10	4.233327e+02
9.000000e-14	3.505463e-10	4.256097e+02
1.000000e-13	3.523469e-10	4.263994e+02
1.100000e-13	3.538787e-10	4.271544e+02
1.200000e-13	3.558992e-10	4.273022e+02
1.300000e-13	3.573462e-10	4.276534e+02
1.400000e-13	3.586967e-10	4.274689e+02
1.500000e-13	3.607346e-10	4.270755e+02
1.600000e-13	3.624980e-10	4.267964e+02
1.700000e-13	3.644226e-10	4.249464e+02
1.800000e-13	3.666108e-10	4.231940e+02
1.900000e-13	3.682055e-10	4.216734e+02
2.000000e-13	3.701056e-10	4.197425e+02
2.100000e-13	3.716958e-10	4.170021e+02
2.200000e-13	3.732595e-10	4.150110e+02
2.300000e-13	3.741776e-10	4.126296e+02
2.400000e-13	3.756378e-10	4.113553e+02
2.500000e-13	3.770689e-10	4.095277e+02
2.600000e-13	3.782473e-10	4.078519e+02
2.700000e-13	3.794094e-10	4.055150e+02
2.800000e-13	3.803877e-10	4.037553e+02
2.900000e-13	3.811848e-10	4.025394e+02
3.000000e-13	3.822852e-10	4.011712e+02
3.100000e-13	3.828965e-10	3.999374e+02
3.200000e-13	3.835759e-10	3.992938e+02
3.300000e-13	3.849709e-10	3.977396e+02
3.400000e-13	3.861902e-10	3.966429e+02
3.500000e-13	3.868004e-10	3.961364e+02
3.600000e-13	3.878554e-10	3.953757e+02
3.700000e-13	3.890578e-10	3.939910e+02
3.800000e-13	3.896381e-10	3.927651e+02
3.900000e-13	3.904426e-10	3.913760e+02
4.000000e-13	3.912649e-10	3.901634e+02
4.100000e-13	3.919280e-10	3.888180e+02
4.200000e-13	3.928530e-10	3.867262e+02
4.300000e-13	3.936241e-10	3.844028e+02
4.400000e-13	3.941994e-10	3.821198e+02
4.500000e-13	3.948715e-10	3.801896e+02
4.600000e-13	3.957740e-10	3.780731e+02
4.700000e-13	3.962031e-10	3.763068e+02
4.800000e-13	3.967321e-10	3.741482e+02
4.900000e-13	3.974030e-10	3.720088e+02
5.000000e-13	3.977492e-10	3.699684e+02
5.100000e-13	3.985708e-10	3.678174e+02
5.200000e-13	3.988417e-10	3.665695e+02
5.300000e-13	3.990950e-10	3.651332e+02
5.400000e-13	3.996047e-10	3.633811e+02
5.500000e-13	4.002583e-10	3.617849e+02
5.600000e-13	4.008560e-10	3.600450e+02
5.700000e-13	4.013732e-10	3.584432e+02
5.800000e-13	4.021712e-10	3.567868e+02
5.900000e-13	4.019935e-10	3.560078e+02
6.000000e-13	4.022282e-10	3.546091e+02
6.100000e-13	4.022412e-10	3.528041e+02
6.200000e-13	4.025475e-10	3.510593e+02
6.300000e-13	4.027128e-10	3.493211e+02
6.400000e-13	4.030047e-10	3.473973e+02
6.500000e-13	4.033782e-10	3.454673e+02
6.600000e-13	4.037839e-10	3.436451e+02
6.700000e-13	4.041101e-10	3.418883e+02
6.800000e-13	4.044815e-10	3.401102e+02
6.900000e-13	4.049862e-10	3.383623e+02
7.000000e-13	4.053207e-10	3.370148e+02
7.100000e-13	4.056836e-10	3.357373e+02
7.200000e-13	4.063084e-10	3.345793e+02
7.300000e-13	4.063085e-10	3.339442e+02
7.400000e-13	4.066953e-10	3.327409e+02
7.500000e-13	4.071373e-10	3.314272e+02
7.600000e-13	4.074629e-10	3.300424e+02
7.700000e-13	4.079159e-10	3.286759e+02
7.800000e-13	4.083084e-10	3.274389e+02
7.900000e-13	4.085346e-10	3.263383e+02
8.000000e-13	4.086493e-10	3.259495e+02
8.100000e-13	4.088098e-10	3.253751e+02
8.200000e-13	4.089636e-10	3.249990e+02
8.300000e-13	4.091806e-10	3.243884e+02
8.400000e-13	4.094408e-10	3.236677e+02
8.500000e-13	4.099572e-10	3.228531e+02
8.600000e-13	4.103407e-10	3.219030e+02
8.700000e-13	4.107711e-10	3.208659e+02
8.800000e-13	4.110676e-10	3.197887e+02
8.900000e-13	4.112890e-10	3.189891e+02
9.000000e-13	4.114073e-10	3.177303e+02
9.100000e-13	4.114683e-10	3.167655e+02
9.200000e-13	4.116365e-10	3.156882e+02
9.300000e-13	4.117851e-10	3.141953e+02
9.400000e-13	4.117588e-10	3.126245e+02
9.500000e-13	4.117905e-10	3.110660e+02
9.600000e-13	4.117569e-10	3.094724e+02
9.700000e-13	4.118202e-10	3.078610e+02
9.800000e-13	4.119050e-10	3.062737e+02
9.900000e-13	4.118849e-10	3.047607e+02
1.000000e-12	4.118998e-10	3.032637e+02
1.010000e-12	4.119688e-10	3.017207e+02
1.020000e-12	4.120466e-10	3.004155e+02
