time_step [s] = stop-time [s] = time [s],separation [m],mean speed [m/s]
1E-12,6.21885E-10,246.345
2E-12,6.102888E-10,255.8313
3E-12,5.929147E-10,263.757
4E-12,5.334138E-10,275.4709
5E-12,5.078604E-10,284.7576
6E-12,4.955724E-10,292.704
7E-12,4.759007E-10,298.7477
8E-12,4.70313E-10,303.2898
9E-12,4.69604E-10,304.9725
1E-11,4.651935E-10,307.5505
1.1E-11,4.513675E-10,308.447
1.2E-11,4.517625E-10,311.2193
1.3E-11,4.532439E-10,312.1633
1.4E-11,4.559687E-10,313.5334
1.5E-11,4.535644E-10,313.631
1.6E-11,4.568077E-10,313.9034
1.7E-11,4.605321E-10,316.8399
1.8E-11,4.461031E-10,317.8499
1.9E-11,4.492565E-10,319.124
2E-11,4.447668E-10,319.6817
2.1E-11,4.391913E-10,321.8846
2.2E-11,4.325614E-10,324.1655
2.3E-11,4.34374E-10,324.8804
2.4E-11,4.362219E-10,326.0769
2.5E-11,4.408613E-10,324.3702
2.6E-11,4.278033E-10,326.9995
2.7E-11,4.290312E-10,328.19
2.8E-11,4.288874E-10,328.7084
2.9E-11,4.332027E-10,329.0214
3E-11,4.215588E-10,331.1938
3.1E-11,4.206602E-10,333.8476
3.2E-11,4.250901E-10,333.6816
3.3E-11,4.183234E-10,334.4289
3.4E-11,4.205237E-10,334.1637
3.5E-11,4.13196E-10,334.8136
3.6E-11,4.112929E-10,335.8531
3.7E-11,4.27397E-10,335.2478
3.8E-11,4.217449E-10,336.7108
3.9E-11,4.112865E-10,338.1108
4E-11,4.093201E-10,338.5663
4.1E-11,4.107994E-10,339.0712
4.2E-11,4.210753E-10,337.9651
4.3E-11,4.141418E-10,338.1109
4.4E-11,4.086548E-10,340.4904
4.5E-11,4.086732E-10,340.4649
4.6E-11,4.072786E-10,341.5108
4.7E-11,4.098919E-10,342.727
4.8E-11,4.043585E-10,343.7074
4.9E-11,4.026256E-10,343.4919
5E-11,4.037044E-10,343.3224
5.1E-11,4.112613E-10,344.7278
5.2E-11,3.978531E-10,343.9465
5.3E-11,4.005561E-10,345.4048
5.4E-11,3.966213E-10,345.8319
5.5E-11,3.960749E-10,347.095
5.6E-11,3.954451E-10,347.0624
5.7E-11,3.94679E-10,347.5481
5.8E-11,4.003349E-10,347.9298
5.9E-11,3.966074E-10,348.2652
6E-11,3.914891E-10,349.642
6.1E-11,3.951692E-10,350.0071
6.2E-11,3.895809E-10,350.2722
6.3E-11,3.950311E-10,350.0494
6.4E-11,3.886884E-10,351.8145
6.5E-11,3.8115E-10,352.442
6.6E-11,3.839727E-10,351.5709
6.7E-11,3.841474E-10,352.3179
6.8E-11,3.846877E-10,352.8234
6.9E-11,3.77903E-10,353.7836
7E-11,3.768196E-10,353.7401
7.1E-11,3.792042E-10,353.8706
7.2E-11,3.741893E-10,354.9256
7.3E-11,3.71662E-10,354.86
7.4E-11,3.769875E-10,354.5013
7.5E-11,3.705915E-10,355.5493
7.6E-11,3.655364E-10,356.1645
7.7E-11,3.641386E-10,356.5696
7.8E-11,3.621072E-10,356.8744
7.9E-11,3.540722E-10,356.9819
8E-11,3.626547E-10,357.9311
8.1E-11,3.584171E-10,357.0951
8.2E-11,3.615802E-10,357.5617
8.3E-11,3.521736E-10,359.4253
8.4E-11,3.530787E-10,358.8246
8.5E-11,3.59055E-10,359.4812
8.6E-11,3.62263E-10,359.025
8.7E-11,3.55553E-10,359.6681
8.8E-11,3.536206E-10,361.0851
8.9E-11,3.524329E-10,361.3558
9E-11,3.511155E-10,362.3073
9.1E-11,3.522229E-10,361.6325
9.2E-11,3.548941E-10,362.2131
9.3E-11,3.50869E-10,362.3495
9.4E-11,3.509344E-10,362.9639
9.5E-11,3.459038E-10,363.4305
9.6E-11,3.542784E-10,363.7339
9.7E-11,3.480181E-10,364.5539
9.8E-11,3.455337E-10,364.5781
9.9E-11,3.473388E-10,365.0163
1E-10,3.471717E-10,364.9413
1.01E-10,3.450667E-10,365.5089
